,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
24,1628389.0,2023-24,00,1610612748.0,MIA,26.0,51.0,51.0,1766.0,397.0,770.0,0.516,1.0,12.0,0.083,243.0,313.0,0.776,112.0,415.0,527.0,205.0,53.0,49.0,125.0,126.0,1038.0
25,1629061.0,2018-19,00,1610612739.0,CLE,22.0,19.0,3.0,194.0,11.0,36.0,0.306,6.0,23.0,0.261,4.0,4.0,1.0,3.0,16.0,19.0,5.0,1.0,4.0,6.0,13.0,32.0
26,76015.0,1974-75,00,0.0,TOT,29.0,58.0,,1074.0,123.0,291.0,0.423,,,,73.0,103.0,0.709,25.0,70.0,95.0,112.0,70.0,8.0,,101.0,319.0
27,202399.0,2014-15,00,1610612750.0,MIN,29.0,17.0,0.0,215.0,19.0,44.0,0.432,0.0,0.0,0.0,22.0,38.0,0.579,23.0,54.0,77.0,15.0,4.0,9.0,9.0,30.0,60.0
28,201167.0,2017-18,00,1610612753.0,ORL,32.0,53.0,3.0,682.0,65.0,162.0,0.401,27.0,70.0,0.386,22.0,26.0,0.846,4.0,62.0,66.0,30.0,4.0,9.0,21.0,56.0,179.0
29,1630534.0,2023-24,00,0.0,TOT,23.0,61.0,12.0,1163.0,129.0,310.0,0.416,55.0,172.0,0.32,21.0,28.0,0.75,45.0,105.0,150.0,55.0,30.0,33.0,42.0,79.0,334.0
30,200772.0,2010-11,00,1610612750.0,MIN,27.0,4.0,0.0,29.0,6.0,11.0,0.545,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,4.0,15.0
31,76016.0,1993-94,00,1610612746.0,LAC,34.0,39.0,0.0,859.0,163.0,348.0,0.468,37.0,93.0,0.398,50.0,72.0,0.694,28.0,88.0,116.0,104.0,21.0,8.0,70.0,98.0,413.0
32,201336.0,2011-12,00,1610612762.0,UTA,28.0,4.0,0.0,30.0,4.0,14.0,0.286,2.0,9.0,0.222,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,4.0,10.0
33,76017.0,1994-95,00,1610612756.0,PHX,36.0,74.0,1.0,1374.0,194.0,422.0,0.46,78.0,214.0,0.364,105.0,130.0,0.808,25.0,84.0,109.0,210.0,46.0,7.0,79.0,155.0,571.0
34,201582.0,2016-17,00,1610612740.0,NOP,29.0,39.0,15.0,584.0,89.0,178.0,0.5,0.0,4.0,0.0,29.0,40.0,0.725,46.0,131.0,177.0,12.0,20.0,22.0,31.0,77.0,207.0
35,76018.0,1967-68,00,1610612760.0,SEA,23.0,36.0,,259.0,46.0,137.0,0.336,,,,20.0,31.0,0.645,,,57.0,14.0,,,,48.0,112.0
36,203006.0,2012-13,00,1610612742.0,DAL,27.0,3.0,0.0,9.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0
37,1629152.0,2018-19,00,1610612743.0,DEN,26.0,7.0,0.0,22.0,3.0,10.0,0.3,0.0,4.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,6.0,2.0,0.0,2.0,4.0,7.0
38,202374.0,2011-12,00,1610612761.0,TOR,24.0,14.0,0.0,122.0,13.0,36.0,0.361,0.0,0.0,0.0,7.0,8.0,0.875,15.0,32.0,47.0,3.0,2.0,9.0,5.0,11.0,33.0
39,76019.0,1990-91,00,1610612764.0,WAS,27.0,42.0,1.0,587.0,99.0,225.0,0.44,5.0,21.0,0.238,41.0,48.0,0.854,41.0,76.0,117.0,45.0,15.0,8.0,40.0,88.0,244.0
40,76020.0,1960-61,00,1610612747.0,LAL,24.0,20.0,,174.0,12.0,40.0,0.3,,,,7.0,8.0,0.875,,,50.0,2.0,,,,47.0,31.0
41,1630583.0,2023-24,00,1610612763.0,MEM,23.0,50.0,24.0,1267.0,199.0,465.0,0.428,84.0,244.0,0.344,39.0,65.0,0.6,60.0,221.0,281.0,108.0,32.0,35.0,61.0,75.0,521.0
42,203128.0,2014-15,00,1610612755.0,PHI,23.0,41.0,9.0,540.0,40.0,78.0,0.513,0.0,5.0,0.0,13.0,27.0,0.481,78.0,98.0,176.0,28.0,17.0,16.0,17.0,96.0,93.0
43,202332.0,2017-18,00,1610612750.0,MIN,29.0,21.0,0.0,49.0,5.0,15.0,0.333,0.0,0.0,0.0,2.0,6.0,0.333,3.0,12.0,15.0,3.0,2.0,1.0,1.0,11.0,12.0
44,200746.0,2021-22,00,1610612751.0,BKN,36.0,47.0,12.0,1050.0,252.0,458.0,0.55,14.0,46.0,0.304,89.0,102.0,0.873,73.0,185.0,258.0,42.0,14.0,47.0,44.0,78.0,607.0
